Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date,_Review
Misc,11.2 50LB UL AIR HANDLING B,m,135.3800,386282,84047602154,ADT AL115035C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,14.5 50LB UL AIR HANDLING B,m,148.5640,925757,84047602289,ADT AL145035C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,4IN 18LB NATURAL 100,m,25.0840,296769,84047600033,ADT AL04189C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,5IN 40LB NATURAL 100,m,58.5090,296774,84047600243,ADT AL05409C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,7IN 50LB UV BLACK 100,m,54.2340,296776,84047604695,ADT AL07500C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,7IN 50 LB NATURAL 100,m,52.9200,296779,84047602055,ADT AL07509C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,(WAS AL0750MH0C) 8.0IN 50LB,m,111.4330,296781,84047601458,ADT AL-08-50-MH,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,(WAS AL0750MH9C) 7IN 50LB M,m,108.1930,296784,84047602163,ADT AL-08-50-MH,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,11IN 50LB UV BLACK 100,m,66.2540,296790,84047601650,ADT AL11500C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,11IN 50 LB NATURAL 100,m,74.0280,296793,84047602142,ADT AL11509C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,(WAS AL1150MH9C) 11IN 50LB,m,147.0670,296796,84047600684,ADT AL-12-50-MH,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,15.0IN.120LB UV BLK.CBL.TIE,m,213.6910,296798,84047603003,ADT AL141200C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,15.0IN.120LB NATURAL CBL.TI,m,207.4700,296800,84047606213,ADT AL141209C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,14IN 50LB UV BLACK 100,m,90.8580,296803,84047603345,ADT AL14500C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,14IN 50LB NATURAL 100,m,93.7220,296804,84047602277,ADT AL14509C,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,24IN 175 LB UV BLACK 50,m,585.7670,296809,84047601158,ADT AL241750L,2026-08-25,UOM=m but description doesn't match wire keywords
