Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date
Firestop & Sealants,FIRE BRR CAULK SAUSAGE PACK,ea,23.3600,5472,5111511642,3M CP-25WBPLUS-,2026-08-25
Wire Management,3INX300FT YEL CAUTION TAPE,ea,18.9770,567374,5112853460,3M 301,2026-08-25
PPE & Safety,YEL NEON FOAM EARPLUG PER P,ea,0.4970,578947,8052911035,3M> 311-1252,2026-08-25
PPE & Safety,"VIRTUA CLEAR TEMPLE, CLEAR",ea,1.4540,578993,7837111228,3M> 11228-00000,2026-08-25
PPE & Safety,LRG GRIP GLOVES,ea,7.1060,878554,5400798955,3M CGL-GU,2026-08-25
Firestop & Sealants,FIRE BRR SEALANT,ea,14.2630,616483,5111518810,3M FD150+RED20O,2026-08-25
Firestop & Sealants,FIRE BLOCK FOAM,ea,19.1180,630233,5111554907,3M FB-FOAM-ORAN,2026-08-25
Wire Management,SPLICING TAPE,ea,14.2630,63588,5400750349,3M 2155-1-1/2X2,2026-08-25
Wire Management,SPLICING TAPE,ea,6.9150,377025,5113897905,3M 2155-3/4X22F,2026-08-25
Wire Management,2.83IN X 60 YD PAINTERS TAP,ea,14.6720,894920,2120098031,3M 2090-72NC,2026-08-25
Terminals & Lugs,COLD SHRINK INSLTR,ea,70.1740,378917,5112857237,3M QSLV-M2-500,2026-08-25
PPE & Safety,XLRG GRIP GLOVES,ea,7.1060,898758,5400798956,3M CGXL-GU,2026-08-25
Misc,3IN X 1000FT RED CAUTION TA,ea,97.8700,403882,5112857779,3M 406,2026-08-25
Misc,6IN X 1000FT RED CAUTION TA,ea,241.2490,403884,5112857781,3M 408-R-6X1000,2026-08-25
PPE & Safety,VIRTUA AP PROT EYEWEAR CLEA,ea,3.6910,921364,7837111818,3M> 11818-00000,2026-08-25
Terminals & Lugs,DIR BURY SPLC KIT,ea,15.6700,679972,5112858573,3M DBR/Y-6(KIT),2026-08-25
Fittings,SCOTCHCAST CONNECTOR SEALIN,ea,5.8500,691623,5112859186,3M 3570G-N,2026-08-25
Firestop & Sealants,FIRE RETARDANT ELECTRIC ARC,ea,31.3150,934776,5112860333,3M 77-BLACK-3X2,2026-08-25
Misc,3IN X 1000FT ORG CAUTION TA,ea,159.5350,423190,5112857780,3M 407,2026-08-25
Wire Management,6INX1000FT RED CAUTION TAPE,ea,101.4330,435669,5112857773,3M 368,2026-08-25
PPE & Safety,N95 PARTICULATE RESP PER EA,ea,3.1730,435673,5113854343,3M> 8511,2026-08-25
Firestop & Sealants,POTTING KIT,ea,64.3300,729714,5112859190,3M 2136,2026-08-25
